"prec","total_votes","trump","clinton","latino_reg","total_reg","county_id","county_name","pct_latino","pct_trump","pct_clinton"
"4001_alpine",295,216,60,5,370,"4001","apache",0.0135135135135135,0.732203389830508,0.203389830508475
"4001_canyon_de_chelly",1685,143,1387,4,3730,"4001","apache",0.00107238605898123,0.08486646884273,0.823145400593472
"4001_chinle",830,93,678,4,1974,"4001","apache",0.00202634245187437,0.112048192771084,0.816867469879518
"4001_concho",1445,1135,228,99,1915,"4001","apache",0.0516971279373368,0.785467128027682,0.157785467128028
"4001_cornfields",413,33,349,0,741,"4001","apache",0,0.0799031476997579,0.845036319612591
"4001_cottonwood",694,47,589,0,1414,"4001","apache",0,0.0677233429394813,0.848703170028818
"4001_coronado",673,582,57,63,876,"4001","apache",0.0719178082191781,0.864784546805349,0.0846953937592868
"4001_dennehotso",505,40,430,0,1133,"4001","apache",0,0.0792079207920792,0.851485148514851
"4001_eagar",945,762,141,22,1246,"4001","apache",0.0176565008025682,0.806349206349206,0.149206349206349
"4001_flat_top",666,559,83,34,928,"4001","apache",0.0366379310344828,0.839339339339339,0.124624624624625
"4001_ft._defiance",1735,251,1306,NA,NA,"4001","apache",NA,0.144668587896254,0.752737752161383
"4001_ganado_north",385,33,316,1,776,"4001","apache",0.00128865979381443,0.0857142857142857,0.820779220779221
"4001_ganado_south",612,55,485,0,1223,"4001","apache",0,0.0898692810457516,0.792483660130719
"4001_greer",122,87,34,1,152,"4001","apache",0.00657894736842105,0.713114754098361,0.278688524590164
"4001_houck",588,102,407,0,1194,"4001","apache",0,0.173469387755102,0.692176870748299
"4001_kinlichee",608,42,520,0,1055,"4001","apache",0,0.0690789473684211,0.855263157894737
"4001_klagetoh",476,54,359,1,904,"4001","apache",0.00110619469026549,0.113445378151261,0.754201680672269
"4001_lukachukai",839,47,710,1,1868,"4001","apache",0.000535331905781585,0.0560190703218117,0.846245530393325
"4001_lupton",335,50,261,3,736,"4001","apache",0.00407608695652174,0.149253731343284,0.77910447761194
"4001_mcnary",86,11,66,12,214,"4001","apache",0.0560747663551402,0.127906976744186,0.767441860465116
"4001_many_farms",852,51,732,2,1937,"4001","apache",0.00103252452245741,0.0598591549295775,0.859154929577465
"4001_mexican_water",106,5,87,0,248,"4001","apache",0,0.0471698113207547,0.820754716981132
"4001_nazlini",523,45,430,1,1054,"4001","apache",0.00094876660341556,0.0860420650095602,0.822179732313576
"4001_nutrioso",286,213,59,3,331,"4001","apache",0.00906344410876133,0.744755244755245,0.206293706293706
"4001_oak_springs",270,24,218,0,511,"4001","apache",0,0.0888888888888889,0.807407407407407
"4001_puerco_east_&_49_puerco_west",788,223,478,NA,NA,"4001","apache",NA,0.282994923857868,0.606598984771574
"4001_red_mesa",125,10,98,0,454,"4001","apache",0,0.08,0.784
"4001_red_valley",394,81,259,1,965,"4001","apache",0.00103626943005181,0.205583756345178,0.657360406091371
"4001_rock_point",648,38,557,1,1381,"4001","apache",0.000724112961622013,0.058641975308642,0.859567901234568
"4001_rough_rock",426,25,381,0,917,"4001","apache",0,0.0586854460093897,0.894366197183099
"4001_round_rock",471,25,407,1,983,"4001","apache",0.00101729399796541,0.0530785562632696,0.86411889596603
"4001_round_valley",562,470,66,28,751,"4001","apache",0.0372836218375499,0.836298932384342,0.117437722419929
